2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\atlthunk.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\atmlib.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\attrib.exe |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\audiodg.exe |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AudioEndpointBuilder.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AudioEng.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AudioHandlers.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AUDIOKSE.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\audioresourceregistrar.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AudioSes.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\audiosrv.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AudioSrvPolicyManager.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\auditcse.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AuditNativeSnapIn.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\auditpol.exe |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\auditpolcore.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AuditPolicyGPInterop.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\auditpolmsg.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AuthBroker.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AuthBrokerUI.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AuthExt.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\authfwcfg.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AuthFWGP.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AuthFWSnapin.dll |  | DETECTED
